REGIONAL,MEDIO DE  RECEPCION,TIPO DE AFECTACION,RECURSO AFECTADO,MUNICIPIO,Periodo
Aguas,Telefónico,INTERVENCIÓN  DE CAUCE,AGUA,SAN RAFAEL,2021
Aguas,Telefónico,QUEMAS,AIRE,SAN CARLOS,2021
Aguas,Telefónico,CONTAMINACION DEL AGUA,AGUA,SAN CARLOS,2021
Aguas,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,GRANADA,2021
Porce,Pagina Web,CONTAMINACION DEL AGUA,AGUA,SANTO DOMINGO,2021
Valles,Telefónico,CONFLICTOS POR USO DEL AGUA,AGUA,GUARNE,2021
Paramo,Correo electrónico,MOVIMIENTO DE TIERRAS,AGUA,SONSÓN,2021
Valles,Telefónico,OLORES,AIRE,RIONEGRO,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,GUARNE,2021
Valles,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,GUARNE,2021
Valles,Telefónico,MOVIMIENTO DE TIERRAS,AGUA,GUARNE,2021
Valles,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,RIONEGRO,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,GUARNE,2021
Paramo,Telefónico,QUEMAS,AIRE,ABEJORRAL,2021
Paramo,Telefónico,QUEMAS,AIRE,ABEJORRAL,2021
Paramo,Telefónico,MOVIMIENTO DE TIERRAS,AGUA,ABEJORRAL,2021
Valles,Telefónico,INTERVENCIÓN  DE CAUCE,AGUA,LA CEJA,2021
Valles,Pagina Web,OLORES,AIRE,MARINILLA,2021
Valles,Pagina Web,USO ILEGAL DEL AGUA,AGUA,RIONEGRO,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,EL SANTUARIO,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,RIONEGRO,2021
Valles,Correo electrónico,RETIRO A FUENTES HÍDRICAS,AGUA,GUARNE,2021
Valles,Correo electrónico,TALA BOSQUE NATURAL NATIVO,FLORA,RIONEGRO,2021
Valles,Telefónico,CONTAMINACION DEL AGUA,AGUA,EL CARMEN,2021
Valles,Correo electrónico,INTERVENCIÓN  DE CAUCE,AGUA,RIONEGRO,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN VICENTE,2021
Bosques,Pagina Web,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,SAN FRANCISCO,2021
Porce,Pagina Web,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,CONCEPCIÓN,2021
Valles,Telefónico,USO ILEGAL DEL AGUA,AGUA,EL RETIRO,2021
Aguas,Telefónico,INTERVENCIÓN  DE CAUCE,AGUA,SAN RAFAEL,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,RIONEGRO,2021
Valles,Pagina Web,MINERIA,SUELO,RIONEGRO,2021
Aguas,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,GUATAPÉ,2021
Bosques,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN LUIS,2021
Valles,Correo electrónico,TALA BOSQUE NATURAL NATIVO,FLORA,RIONEGRO,2021
Valles,Pagina Web,INTERVENCIÓN  DE CAUCE,AGUA,RIONEGRO,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,EL SANTUARIO,2021
Valles,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,RIONEGRO,2021
Valles,Correo electrónico,RETIRO A FUENTES HÍDRICAS,AGUA,EL SANTUARIO,2021
Valles,Telefónico,CONTAMINACION DEL AGUA,AGUA,EL RETIRO,2021
Paramo,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,NARIÑO,2021
Valles,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,GUARNE,2021
Valles,Pagina Web,RETIRO A FUENTES HÍDRICAS,AGUA,LA CEJA,2021
Aguas,Telefónico,USO ILEGAL DEL AGUA,AGUA,EL PEÑOL,2021
Valles,Telefónico,INTERVENCIÓN  DE CAUCE,AGUA,LA CEJA,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,RIONEGRO,2021
Valles,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,RIONEGRO,2021
Valles,Telefónico,INTERVENCIÓN  DE CAUCE,AGUA,GUARNE,2021
Valles,Pagina Web,CONTAMINACION DEL AGUA,AGUA,LA CEJA,2021
Porce,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,CONCEPCIÓN,2021
Porce,Telefónico,MOVIMIENTO DE TIERRAS,AGUA,CONCEPCIÓN,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,MARINILLA,2021
Valles,Correo electrónico,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,EL RETIRO,2021
Porce,Pagina Web,MOVIMIENTO DE TIERRAS,SUELO,CONCEPCIÓN,2021
Valles,Pagina Web,CONTAMINACION DEL AGUA,AGUA,RIONEGRO,2021
Bosques,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,SAN LUIS,2021
Valles,Telefónico,CONTAMINACION DEL AGUA,AGUA,RIONEGRO,2021
Valles,Telefónico,CONTAMINACION DEL AGUA,AGUA,RIONEGRO,2021
Aguas,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN CARLOS,2021
Valles,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,RIONEGRO,2021
Valles,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,SAN VICENTE,2021
Paramo,Pagina Web,QUEMAS,AIRE,ABEJORRAL,2021
Valles,Pagina Web,CONTAMINACION DEL AGUA,AGUA,RIONEGRO,2021
Valles,Pagina Web,MOVIMIENTO DE TIERRAS,AGUA,RIONEGRO,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,GUARNE,2021
Aguas,Correo electrónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,SAN RAFAEL,2021
Valles,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,GUARNE,2021
